group_id,family,block_index,support_node_count,coordinate_sha256,support_index_sha256,solver_node_count
rb_g000,q,0,56,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,c07eaa9ddb84f48510e1207b496dbb966ac778f4b9b9649af89123e963270978,240825
rb_g000,q,1,45,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,c07eaa9ddb84f48510e1207b496dbb966ac778f4b9b9649af89123e963270978,240825
rb_g000,q,2,44,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,c07eaa9ddb84f48510e1207b496dbb966ac778f4b9b9649af89123e963270978,240825
rb_g000,k,0,71,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,c07eaa9ddb84f48510e1207b496dbb966ac778f4b9b9649af89123e963270978,240825
rb_g000,k,1,77,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,c07eaa9ddb84f48510e1207b496dbb966ac778f4b9b9649af89123e963270978,240825
rb_g001,q,0,16,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,d3e89cbc10d46508caa7b48a67b03dfa820c4d11121fce8d055fb9be5ead9eb5,240825
rb_g001,q,1,22,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,d3e89cbc10d46508caa7b48a67b03dfa820c4d11121fce8d055fb9be5ead9eb5,240825
rb_g001,q,2,36,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,d3e89cbc10d46508caa7b48a67b03dfa820c4d11121fce8d055fb9be5ead9eb5,240825
rb_g001,q,3,27,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,d3e89cbc10d46508caa7b48a67b03dfa820c4d11121fce8d055fb9be5ead9eb5,240825
rb_g001,k,0,22,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,d3e89cbc10d46508caa7b48a67b03dfa820c4d11121fce8d055fb9be5ead9eb5,240825
rb_g001,k,1,18,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,d3e89cbc10d46508caa7b48a67b03dfa820c4d11121fce8d055fb9be5ead9eb5,240825
rb_g001,k,2,44,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,d3e89cbc10d46508caa7b48a67b03dfa820c4d11121fce8d055fb9be5ead9eb5,240825
rb_g001,k,3,18,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,d3e89cbc10d46508caa7b48a67b03dfa820c4d11121fce8d055fb9be5ead9eb5,240825
rb_g001,k,4,57,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,d3e89cbc10d46508caa7b48a67b03dfa820c4d11121fce8d055fb9be5ead9eb5,240825
rb_g002,q,0,30,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,c3ccff485d94b8ea6559e890026d2a928d3c87cdce5aca64a843d66423869e10,240825
rb_g002,q,1,18,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,c3ccff485d94b8ea6559e890026d2a928d3c87cdce5aca64a843d66423869e10,240825
rb_g002,q,2,20,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,c3ccff485d94b8ea6559e890026d2a928d3c87cdce5aca64a843d66423869e10,240825
rb_g002,q,3,8,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,c3ccff485d94b8ea6559e890026d2a928d3c87cdce5aca64a843d66423869e10,240825
rb_g002,q,4,9,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,c3ccff485d94b8ea6559e890026d2a928d3c87cdce5aca64a843d66423869e10,240825
rb_g002,k,0,17,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,c3ccff485d94b8ea6559e890026d2a928d3c87cdce5aca64a843d66423869e10,240825
rb_g002,k,1,12,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,c3ccff485d94b8ea6559e890026d2a928d3c87cdce5aca64a843d66423869e10,240825
rb_g002,k,2,14,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,c3ccff485d94b8ea6559e890026d2a928d3c87cdce5aca64a843d66423869e10,240825
rb_g002,k,3,10,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,c3ccff485d94b8ea6559e890026d2a928d3c87cdce5aca64a843d66423869e10,240825
rb_g002,k,4,23,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,c3ccff485d94b8ea6559e890026d2a928d3c87cdce5aca64a843d66423869e10,240825
rb_g002,k,5,47,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,c3ccff485d94b8ea6559e890026d2a928d3c87cdce5aca64a843d66423869e10,240825
rb_g002,k,6,22,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,c3ccff485d94b8ea6559e890026d2a928d3c87cdce5aca64a843d66423869e10,240825
rb_g002,k,7,35,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,c3ccff485d94b8ea6559e890026d2a928d3c87cdce5aca64a843d66423869e10,240825
rb_g003,q,0,15,cfb7a8e0009835c0b6054fb45732031a2ed22e4c8bb45c9ffd062e80f047b40e,48bb33d93a619e89636a145098a2fc41533a35b9771e6d4e9322bd12b1ff65bb,240825
rb_g003,q,1,19,cfb7a8e0009835c0b6054fb45732031a2ed22e4c8bb45c9ffd062e80f047b40e,48bb33d93a619e89636a145098a2fc41533a35b9771e6d4e9322bd12b1ff65bb,240825
rb_g003,q,2,14,cfb7a8e0009835c0b6054fb45732031a2ed22e4c8bb45c9ffd062e80f047b40e,48bb33d93a619e89636a145098a2fc41533a35b9771e6d4e9322bd12b1ff65bb,240825
rb_g003,q,3,19,cfb7a8e0009835c0b6054fb45732031a2ed22e4c8bb45c9ffd062e80f047b40e,48bb33d93a619e89636a145098a2fc41533a35b9771e6d4e9322bd12b1ff65bb,240825
