sample_id,source_id,active_layer,slot_index,declared_source_area_m2,package_power_fraction,source_power_W,surface_power_density_W_m2,surface_power_density_W_cm2,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,group_id,split_role
p1f_pilot_g013_t0_b0_p1,src_06,silicon_die_upper,1,3.932577147023223e-06,0.1303849500369993,0.7823097002219958,198930.5412137096,19.89305412137096,5.5389404296875e-10,1412381501.756163,660,11,15,4,10,14,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b0_p1,src_07,silicon_die_upper,2,3.2740560090410605e-06,0.12384931985078168,0.7430959191046901,226964.9380012701,22.69649380012701,4.8004150390625e-10,1547982649.537348,572,11,13,4,10,12,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p0,src_00,silicon_die_lower,5,3.167987938270789e-06,0.09903796484179286,0.39615185936717145,125048.4115111267,12.50484115111267,3.2958984374999917e-10,1201954085.9021766,360,12,10,3,11,9,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p0,src_01,silicon_die_lower,6,2.5285537195765437e-06,0.09218850180784205,0.3687540072313682,145835.93948445885,14.583593948445886,3.021240234374993e-10,1220538516.0563133,330,10,11,3,9,10,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p0,src_02,silicon_die_lower,1,3.2173261940478002e-06,0.10153057063127546,0.40612228252510185,126229.75042954816,12.622975042954817,3.845214843749991e-10,1056175789.9827435,420,10,14,3,9,13,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p0,src_03,silicon_die_lower,2,3.831615839198774e-06,0.13852657875295143,0.5541063150118057,144614.26673914012,14.461426673914012,4.5318603515624897e-10,1222690621.5694876,495,11,15,3,10,14,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p0,src_04,silicon_die_upper,5,5.2955877735314405e-06,0.19244499477906993,0.7697799791162797,145362.51914543202,14.536251914543202,7.418823242187503e-10,1037603881.3526222,884,13,17,4,12,16,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p0,src_05,silicon_die_upper,6,3.461115897051479e-06,0.12203711929928733,0.4881484771971493,141037.88827557102,14.103788827557102,5.236816406250002e-10,932147395.1512928,624,13,12,4,12,11,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p0,src_06,silicon_die_upper,1,3.932577147023223e-06,0.1303849500369993,0.5215398001479972,132620.36080913973,13.262036080913973,5.5389404296875e-10,941587667.8374419,660,11,15,4,10,14,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p0,src_07,silicon_die_upper,2,3.2740560090410605e-06,0.12384931985078168,0.4953972794031267,151309.9586675134,15.13099586675134,4.8004150390625e-10,1031988433.0248986,572,11,13,4,10,12,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p1,src_00,silicon_die_lower,5,3.167987938270789e-06,0.09903796484179286,0.5942277890507572,187572.61726669007,18.757261726669007,3.2958984374999917e-10,1802931128.853265,360,12,10,3,11,9,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p1,src_01,silicon_die_lower,6,2.5285537195765437e-06,0.09218850180784205,0.5531310108470523,218753.9092266883,21.875390922668828,3.021240234374993e-10,1830807774.08447,330,10,11,3,9,10,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p1,src_02,silicon_die_lower,1,3.2173261940478002e-06,0.10153057063127546,0.6091834237876528,189344.62564432225,18.934462564432224,3.845214843749991e-10,1584263684.9741154,420,10,14,3,9,13,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p1,src_03,silicon_die_lower,2,3.831615839198774e-06,0.13852657875295143,0.8311594725177086,216921.40010871016,21.692140010871018,4.5318603515624897e-10,1834035932.3542316,495,11,15,3,10,14,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p1,src_04,silicon_die_upper,5,5.2955877735314405e-06,0.19244499477906993,1.1546699686744195,218043.778718148,21.8043778718148,7.418823242187503e-10,1556405822.028933,884,13,17,4,12,16,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p1,src_05,silicon_die_upper,6,3.461115897051479e-06,0.12203711929928733,0.732222715795724,211556.83241335655,21.155683241335655,5.236816406250002e-10,1398221092.7269392,624,13,12,4,12,11,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p1,src_06,silicon_die_upper,1,3.932577147023223e-06,0.1303849500369993,0.7823097002219958,198930.5412137096,19.89305412137096,5.5389404296875e-10,1412381501.756163,660,11,15,4,10,14,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t0_b1_p1,src_07,silicon_die_upper,2,3.2740560090410605e-06,0.12384931985078168,0.7430959191046901,226964.9380012701,22.69649380012701,4.8004150390625e-10,1547982649.537348,572,11,13,4,10,12,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p0,src_00,silicon_die_lower,5,3.167987938270789e-06,0.09903796484179286,0.39615185936717145,125048.4115111267,12.50484115111267,3.2958984374999917e-10,1201954085.9021766,360,12,10,3,11,9,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p0,src_01,silicon_die_lower,6,2.5285537195765437e-06,0.09218850180784205,0.3687540072313682,145835.93948445885,14.583593948445886,3.021240234374993e-10,1220538516.0563133,330,10,11,3,9,10,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p0,src_02,silicon_die_lower,1,3.2173261940478002e-06,0.10153057063127546,0.40612228252510185,126229.75042954816,12.622975042954817,3.845214843749991e-10,1056175789.9827435,420,10,14,3,9,13,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p0,src_03,silicon_die_lower,2,3.831615839198774e-06,0.13852657875295143,0.5541063150118057,144614.26673914012,14.461426673914012,4.5318603515624897e-10,1222690621.5694876,495,11,15,3,10,14,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p0,src_04,silicon_die_upper,5,5.2955877735314405e-06,0.19244499477906993,0.7697799791162797,145362.51914543202,14.536251914543202,7.418823242187503e-10,1037603881.3526222,884,13,17,4,12,16,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p0,src_05,silicon_die_upper,6,3.461115897051479e-06,0.12203711929928733,0.4881484771971493,141037.88827557102,14.103788827557102,5.236816406250002e-10,932147395.1512928,624,13,12,4,12,11,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p0,src_06,silicon_die_upper,1,3.932577147023223e-06,0.1303849500369993,0.5215398001479972,132620.36080913973,13.262036080913973,5.5389404296875e-10,941587667.8374419,660,11,15,4,10,14,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p0,src_07,silicon_die_upper,2,3.2740560090410605e-06,0.12384931985078168,0.4953972794031267,151309.9586675134,15.13099586675134,4.8004150390625e-10,1031988433.0248986,572,11,13,4,10,12,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p1,src_00,silicon_die_lower,5,3.167987938270789e-06,0.09903796484179286,0.5942277890507572,187572.61726669007,18.757261726669007,3.2958984374999917e-10,1802931128.853265,360,12,10,3,11,9,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p1,src_01,silicon_die_lower,6,2.5285537195765437e-06,0.09218850180784205,0.5531310108470523,218753.9092266883,21.875390922668828,3.021240234374993e-10,1830807774.08447,330,10,11,3,9,10,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p1,src_02,silicon_die_lower,1,3.2173261940478002e-06,0.10153057063127546,0.6091834237876528,189344.62564432225,18.934462564432224,3.845214843749991e-10,1584263684.9741154,420,10,14,3,9,13,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p1,src_03,silicon_die_lower,2,3.831615839198774e-06,0.13852657875295143,0.8311594725177086,216921.40010871016,21.692140010871018,4.5318603515624897e-10,1834035932.3542316,495,11,15,3,10,14,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p1,src_04,silicon_die_upper,5,5.2955877735314405e-06,0.19244499477906993,1.1546699686744195,218043.778718148,21.8043778718148,7.418823242187503e-10,1556405822.028933,884,13,17,4,12,16,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p1,src_05,silicon_die_upper,6,3.461115897051479e-06,0.12203711929928733,0.732222715795724,211556.83241335655,21.155683241335655,5.236816406250002e-10,1398221092.7269392,624,13,12,4,12,11,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p1,src_06,silicon_die_upper,1,3.932577147023223e-06,0.1303849500369993,0.7823097002219958,198930.5412137096,19.89305412137096,5.5389404296875e-10,1412381501.756163,660,11,15,4,10,14,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b0_p1,src_07,silicon_die_upper,2,3.2740560090410605e-06,0.12384931985078168,0.7430959191046901,226964.9380012701,22.69649380012701,4.8004150390625e-10,1547982649.537348,572,11,13,4,10,12,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b1_p0,src_00,silicon_die_lower,5,3.167987938270789e-06,0.09903796484179286,0.39615185936717145,125048.4115111267,12.50484115111267,3.2958984374999917e-10,1201954085.9021766,360,12,10,3,11,9,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b1_p0,src_01,silicon_die_lower,6,2.5285537195765437e-06,0.09218850180784205,0.3687540072313682,145835.93948445885,14.583593948445886,3.021240234374993e-10,1220538516.0563133,330,10,11,3,9,10,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b1_p0,src_02,silicon_die_lower,1,3.2173261940478002e-06,0.10153057063127546,0.40612228252510185,126229.75042954816,12.622975042954817,3.845214843749991e-10,1056175789.9827435,420,10,14,3,9,13,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b1_p0,src_03,silicon_die_lower,2,3.831615839198774e-06,0.13852657875295143,0.5541063150118057,144614.26673914012,14.461426673914012,4.5318603515624897e-10,1222690621.5694876,495,11,15,3,10,14,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b1_p0,src_04,silicon_die_upper,5,5.2955877735314405e-06,0.19244499477906993,0.7697799791162797,145362.51914543202,14.536251914543202,7.418823242187503e-10,1037603881.3526222,884,13,17,4,12,16,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b1_p0,src_05,silicon_die_upper,6,3.461115897051479e-06,0.12203711929928733,0.4881484771971493,141037.88827557102,14.103788827557102,5.236816406250002e-10,932147395.1512928,624,13,12,4,12,11,p1f_pilot_g013,pilot_only
p1f_pilot_g013_t1_b1_p0,src_06,silicon_die_upper,1,3.932577147023223e-06,0.1303849500369993,0.5215398001479972,132620.36080913973,13.262036080913973,5.5389404296875e-10,941587667.8374419,660,11,15,4,10,14,p1f_pilot_g013,pilot_only
